seed,prediction_error,prediction_error_sigma,strategy,worker_count,measurement_task_count,average_wait_time,p95_wait_time,p99_wait_time,max_wait_time,p95_slowdown,p99_slowdown,slo_violation_rate,long_wait_rate,throughput,worker_utilization,prediction_mae,prediction_median_absolute_error,prediction_spearman,short_task_count,short_p95_wait_time,short_p99_wait_time,short_max_wait_time,short_p99_slowdown,medium_task_count,medium_p95_wait_time,medium_p99_wait_time,medium_max_wait_time,medium_p99_slowdown,long_task_count,long_p95_wait_time,long_p99_wait_time,long_max_wait_time,long_p99_slowdown
20,exact,0.0,predicted_sjf,1,500,12.941098476853366,33.95290039312346,219.83712857386308,703.6604142145865,21.297744851885177,36.86178488481781,0.212,0.06,0.3315651934985668,0.9655973854570079,0.0,0.0,1.0,250,11.69707660010289,20.205144120840657,22.699118509203203,49.17897888554123,175,17.046685680994244,25.325825519910836,30.551248609879053,11.558101277631888,75,315.56220809410723,703.6604142145865,703.6604142145865,37.10158013949338
20,exact,0.0,oracle_sjf,1,500,12.941098476853366,33.95290039312346,219.83712857386308,703.6604142145865,21.297744851885177,36.86178488481781,0.212,0.06,0.3315651934985668,0.9655973854570079,0.0,0.0,1.0,250,11.69707660010289,20.205144120840657,22.699118509203203,49.17897888554123,175,17.046685680994244,25.325825519910836,30.551248609879053,11.558101277631888,75,315.56220809410723,703.6604142145865,703.6604142145865,37.10158013949338
21,exact,0.0,fifo,1,500,10.033122643238515,35.856257741134414,48.40105554998763,52.04631032968007,68.15965905568711,98.5990428341129,0.354,0.106,0.34315646800507443,0.758554835965679,0.0,0.0,1.0,250,33.76038811937042,46.91939741575118,49.30226499400112,135.64607950208674,182,36.24955957396742,51.589936181583084,52.04631032968007,39.52357283488558,68,37.47909377723363,48.40105554998763,48.40105554998763,10.48779248873223
21,exact,0.0,predicted_sjf,1,500,4.461906925276755,16.839314774282002,40.89623931852202,117.59003566904585,17.351598540778056,32.17724342659121,0.118,0.016,0.34315646800507443,0.758554835965679,0.0,0.0,1.0,250,9.202678512280045,13.433717133921618,16.29764356901751,38.476365901777726,182,15.384924572832915,19.18148707408443,20.15341148420947,12.470732221463544,68,54.002994257498926,117.59003566904585,117.59003566904585,11.72746985574118
21,exact,0.0,oracle_sjf,1,500,4.461906925276755,16.839314774282002,40.89623931852202,117.59003566904585,17.351598540778056,32.17724342659121,0.118,0.016,0.34315646800507443,0.758554835965679,0.0,0.0,1.0,250,9.202678512280045,13.433717133921618,16.29764356901751,38.476365901777726,182,15.384924572832915,19.18148707408443,20.15341148420947,12.470732221463544,68,54.002994257498926,117.59003566904585,117.59003566904585,11.72746985574118
22,exact,0.0,fifo,1,500,37.580567004192794,66.41238733052228,78.52241048412202,83.93812206966822,142.48629178598713,207.81017260084627,0.834,0.662,0.3923581319661535,0.9383262357408936,0.0,0.0,1.0,251,63.21364753403839,74.67232076568109,83.93812206966822,245.1635946823038,171,71.968462371128,82.20003996453715,82.58673119174648,71.5059218621668,78,69.54640607541046,78.54309579633423,78.54309579633423,26.305754253020567
22,exact,0.0,predicted_sjf,1,500,9.352304558242015,28.25109006991056,98.93320770965443,492.254690734067,23.7596508635682,49.628137271661735,0.204,0.044,0.38043678459037383,0.9383262357408936,0.0,0.0,1.0,251,15.909583889591545,26.99027923866629,30.78945157547605,56.89524382211762,171,18.55905699747086,29.950815577782123,34.70774238015974,14.722045072539856,78,122.30873187144573,492.254690734067,492.254690734067,18.657194433895622
22,exact,0.0,oracle_sjf,1,500,9.352304558242015,28.25109006991056,98.93320770965443,492.254690734067,23.7596508635682,49.628137271661735,0.204,0.044,0.38043678459037383,0.9383262357408936,0.0,0.0,1.0,251,15.909583889591545,26.99027923866629,30.78945157547605,56.89524382211762,171,18.55905699747086,29.950815577782123,34.70774238015974,14.722045072539856,78,122.30873187144573,492.254690734067,492.254690734067,18.657194433895622
23,exact,0.0,fifo,1,500,16.17503218811565,51.85216702786471,60.38374404904221,63.08166774862673,108.01157250288601,156.03741593906875,0.456,0.256,0.39316315537823077,0.8230054373780922,0.0,0.0,1.0,273,51.85216702786471,60.51438895994943,62.07544745315039,172.66131624010936,163,52.97582686399494,60.05837332228754,63.08166774862673,49.22101718600435,64,49.72319155728661,60.60785169031101,60.60785169031101,25.07701454801581
23,exact,0.0,predicted_sjf,1,500,6.234984259696683,23.45104149815438,69.71348100873695,202.56460837865797,19.878139390643476,35.58391979137433,0.142,0.038,0.3924999545784319,0.8230054373780922,0.0,0.0,1.0,273,10.666978380847013,24.195544186047414,34.27487305770967,42.52854003328205,163,21.757035242658617,43.61083113026609,48.51786661901161,24.241278014016697,64,97.91482655820727,202.56460837865797,202.56460837865797,19.37353623235798
23,exact,0.0,oracle_sjf,1,500,6.234984259696683,23.45104149815438,69.71348100873695,202.56460837865797,19.878139390643476,35.58391979137433,0.142,0.038,0.3924999545784319,0.8230054373780922,0.0,0.0,1.0,273,10.666978380847013,24.195544186047414,34.27487305770967,42.52854003328205,163,21.757035242658617,43.61083113026609,48.51786661901161,24.241278014016697,64,97.91482655820727,202.56460837865797,202.56460837865797,19.37353623235798
24,exact,0.0,fifo,1,500,18.443165860158018,41.27883701203211,63.55149174073847,66.49783945798572,85.40212621866189,120.72702739779474,0.676,0.196,0.3493888118204648,0.8706779734121168,0.0,0.0,1.0,249,41.27883701203211,61.5467047531622,63.909935625261824,135.42666366590277,170,42.82568121824994,64.01611916152774,66.49783945798572,36.670213315393006,81,35.59387060261429,57.012747804376886,57.012747804376886,10.9909402904258
24,exact,0.0,predicted_sjf,1,500,7.0818301592483675,24.81804403906358,62.54180484974978,138.82797000628284,20.278946781559906,34.25442782082648,0.202,0.034,0.3485629756903611,0.8706779734121168,0.0,0.0,1.0,249,12.344844997312066,18.963124711155388,22.28747595360278,41.19020127242049,170,20.510998207503008,25.92120578832487,36.14974785938739,14.169906519018415,81,63.64185271575275,138.82797000628284,138.82797000628284,9.625533650735079
24,exact,0.0,oracle_sjf,1,500,7.0818301592483675,24.81804403906358,62.54180484974978,138.82797000628284,20.278946781559906,34.25442782082648,0.202,0.034,0.3485629756903611,0.8706779734121168,0.0,0.0,1.0,249,12.344844997312066,18.963124711155388,22.28747595360278,41.19020127242049,170,20.510998207503008,25.92120578832487,36.14974785938739,14.169906519018415,81,63.64185271575275,138.82797000628284,138.82797000628284,9.625533650735079
25,exact,0.0,fifo,1,500,18.99520240552188,42.257345369587426,46.128720865872765,49.44926063272737,92.45665801611356,121.43166512043969,0.656,0.24,0.36124970114479066,0.8623122849821508,0.0,0.0,1.0,246,42.74335195677577,46.67272074168636,49.44926063272737,132.39390173683805,171,42.70486965608964,47.47174458721929,48.683803433533285,44.18271507104804,83,34.34983644480212,41.88158650775915,41.88158650775915,9.218728748912667
25,exact,0.0,predicted_sjf,1,500,6.951311751968394,23.096336328558095,64.40123731417589,104.57243127234563,21.896492286711556,37.811934843931155,0.186,0.044,0.36117869002965525,0.8623122849821508,0.0,0.0,1.0,246,12.734170225520757,18.65185757053382,23.096336328558095,47.14282577809105,171,17.593677465064275,38.11500158655963,40.97747959315666,18.763781556891768,83,65.0437201360428,104.57243127234563,104.57243127234563,7.367335563720479
25,exact,0.0,oracle_sjf,1,500,6.951311751968394,23.096336328558095,64.40123731417589,104.57243127234563,21.896492286711556,37.811934843931155,0.186,0.044,0.36117869002965525,0.8623122849821508,0.0,0.0,1.0,246,12.734170225520757,18.65185757053382,23.096336328558095,47.14282577809105,171,17.593677465064275,38.11500158655963,40.97747959315666,18.763781556891768,83,65.0437201360428,104.57243127234563,104.57243127234563,7.367335563720479
26,exact,0.0,fifo,1,500,7.357923619838948,30.497627650747745,45.81564901443994,50.22412922702739,47.67547570615403,95.90893226868101,0.24,0.052,0.3428941295459032,0.7484927098760957,0.0,0.0,1.0,253,29.621463997740534,45.95134135707087,50.22412922702739,134.87364139889917,185,27.920138637928062,45.81564901443994,49.886142364738646,35.822544463129546,62,38.77588714012779,48.69270952717733,48.69270952717733,11.722380264075444
26,exact,0.0,predicted_sjf,1,500,3.467582122464082,12.308334496268003,26.575500458256784,113.18010544555608,14.603983168550132,26.445646666003828,0.074,0.008,0.3420949551253978,0.7484927098760957,0.0,0.0,1.0,253,8.84788826711008,12.44569014224055,13.174264554527554,30.109334169335852,185,10.096058709787485,14.569580871714095,16.378822894990435,9.31578556650794,62,32.38551822019991,113.18010544555608,113.18010544555608,9.399697842097634
26,exact,0.0,oracle_sjf,1,500,3.467582122464082,12.308334496268003,26.575500458256784,113.18010544555608,14.603983168550132,26.445646666003828,0.074,0.008,0.3420949551253978,0.7484927098760957,0.0,0.0,1.0,253,8.84788826711008,12.44569014224055,13.174264554527554,30.109334169335852,185,10.096058709787485,14.569580871714095,16.378822894990435,9.31578556650794,62,32.38551822019991,113.18010544555608,113.18010544555608,9.399697842097634
27,exact,0.0,fifo,1,500,51.917755877243934,105.191188600023,112.55693724862874,114.94282173575618,214.61629068111424,301.1099359982791,0.904,0.702,0.39139836400453215,0.9629722274770555,0.0,0.0,1.0,256,106.08169083832104,113.45647298071276,114.8051678693198,344.1901546194513,173,103.62592126566642,112.55693724862874,114.94282173575618,115.8940904829369,71,97.89661590765445,112.09727851143771,112.09727851143771,35.44732320931792
27,exact,0.0,predicted_sjf,1,500,12.924682737528405,43.751447308585966,172.13970137997586,546.2267092444022,26.649117970932565,52.16680461977553,0.246,0.084,0.3558418571647969,0.9629722274770555,0.0,0.0,1.0,256,18.935955485697264,35.71675134550219,37.70173175304609,59.17852349315141,173,32.17808806354219,60.216656151477,62.82529068343351,22.51838577426787,71,193.31834237593884,546.2267092444022,546.2267092444022,23.718423468071975
27,exact,0.0,oracle_sjf,1,500,12.924682737528405,43.751447308585966,172.13970137997586,546.2267092444022,26.649117970932565,52.16680461977553,0.246,0.084,0.3558418571647969,0.9629722274770555,0.0,0.0,1.0,256,18.935955485697264,35.71675134550219,37.70173175304609,59.17852349315141,173,32.17808806354219,60.216656151477,62.82529068343351,22.51838577426787,71,193.31834237593884,546.2267092444022,546.2267092444022,23.718423468071975
28,exact,0.0,fifo,1,500,84.84063383835311,119.20093020579486,126.94059995214155,137.13962314045477,310.9210965545757,451.5210453756028,0.942,0.842,0.3825617024137866,0.9675269374384203,0.0,0.0,1.0,252,121.34962433654721,127.29716035742274,137.13962314045477,501.1636015792026,163,120.34475369995698,135.3487089267577,136.2253508880142,129.11741596927078,85,116.48049859575076,120.60771656419593,120.60771656419593,35.24206499496076
28,exact,0.0,predicted_sjf,1,500,16.011945224998964,38.37842319010019,372.81309421545336,572.4103575570493,23.56695465948492,51.00634069803302,0.272,0.068,0.38236110935507117,0.9675269374384203,0.0,0.0,1.0,252,15.214123295805393,22.389615420790733,39.55635319480871,62.05735549357336,163,16.889700778724546,24.401791791618137,31.317901095566413,16.880392576420565,85,396.0161323902082,572.4103575570493,572.4103575570493,28.279887719194907
28,exact,0.0,oracle_sjf,1,500,16.011945224998964,38.37842319010019,372.81309421545336,572.4103575570493,23.56695465948492,51.00634069803302,0.272,0.068,0.38236110935507117,0.9675269374384203,0.0,0.0,1.0,252,15.214123295805393,22.389615420790733,39.55635319480871,62.05735549357336,163,16.889700778724546,24.401791791618137,31.317901095566413,16.880392576420565,85,396.0161323902082,572.4103575570493,572.4103575570493,28.279887719194907
29,exact,0.0,fifo,1,500,17.096228481316857,39.68706495935396,50.01677759218637,56.05488855524209,76.12275337948351,106.46023776751517,0.65,0.158,0.3758724835479739,0.8804614498610256,0.0,0.0,1.0,255,38.03495396370454,46.5933661981926,56.05488855524209,118.04846915023133,164,44.02371647972814,52.29681967740805,55.250355790910135,42.54542913595345,81,34.290798082776405,49.62584575847859,49.62584575847859,11.606678317180066
29,exact,0.0,predicted_sjf,1,500,7.151435423237725,25.159341502609323,42.06122997736418,213.89524383221328,24.865008851125047,48.94582489481771,0.222,0.038,0.3751634504103455,0.8804614498610256,0.0,0.0,1.0,255,16.41710961042179,24.274821283090432,29.646031574031213,63.09713838260478,164,22.770901832603272,34.47174453094226,34.82802252429053,19.103192999822202,81,48.885143267587125,213.89524383221328,213.89524383221328,13.184084943894835
29,exact,0.0,oracle_sjf,1,500,7.151435423237725,25.159341502609323,42.06122997736418,213.89524383221328,24.865008851125047,48.94582489481771,0.222,0.038,0.3751634504103455,0.8804614498610256,0.0,0.0,1.0,255,16.41710961042179,24.274821283090432,29.646031574031213,63.09713838260478,164,22.770901832603272,34.47174453094226,34.82802252429053,19.103192999822202,81,48.885143267587125,213.89524383221328,213.89524383221328,13.184084943894835
30,exact,0.0,fifo,1,500,28.677032356780366,77.55320666789908,88.15855629149178,94.63035637855046,159.34202683607313,235.25840123595435,0.726,0.416,0.38831294284970697,0.908723235464201,0.0,0.0,1.0,276,76.7826329618548,87.69849979967,94.63035637855046,276.8631488027914,142,77.32253182321199,91.46906632492176,91.57956471256625,78.07235986086579,82,78.06320844436016,89.56798920238145,89.56798920238145,16.603828557483656
30,exact,0.0,predicted_sjf,1,500,8.541863826978338,25.82131615897049,81.68837999882749,386.9583109847117,19.60735990758318,30.127734518477276,0.18,0.028,0.38831294284970697,0.908723235464201,0.0,0.0,1.0,276,11.051601050106456,15.929681444368157,16.856474545197386,32.36367027323071,142,14.046515399180862,28.710763342318558,36.11772600510585,12.975029695478431,82,110.46415896619226,386.9583109847117,386.9583109847117,26.554996404866934
30,exact,0.0,oracle_sjf,1,500,8.541863826978338,25.82131615897049,81.68837999882749,386.9583109847117,19.60735990758318,30.127734518477276,0.18,0.028,0.38831294284970697,0.908723235464201,0.0,0.0,1.0,276,11.051601050106456,15.929681444368157,16.856474545197386,32.36367027323071,142,14.046515399180862,28.710763342318558,36.11772600510585,12.975029695478431,82,110.46415896619226,386.9583109847117,386.9583109847117,26.554996404866934
31,exact,0.0,fifo,1,500,18.062421555546564,68.15997655633623,86.81099967841783,89.1154569427224,112.61214239310821,191.3545308253865,0.472,0.234,0.34320909942114347,0.773052196759199,0.0,0.0,1.0,262,68.74972712226713,86.81099967841783,88.69859781401351,242.26152342118095,156,73.30062689720603,87.36489329698566,89.1154569427224,56.1299973805712,82,58.27190148087641,81.52894846984373,81.52894846984373,14.644545314211534
31,exact,0.0,predicted_sjf,1,500,5.4313419327971,13.902396301730619,45.55870728589775,303.8853491378627,18.282675254703687,29.807974379772464,0.114,0.022,0.34300490883385026,0.773052196759199,0.0,0.0,1.0,262,9.800420164320599,12.732676767307339,12.981419932096514,32.639400297556136,156,13.5583801401865,21.585121790838684,35.926623318444626,10.039022549394932,82,51.122176934406525,303.8853491378627,303.8853491378627,17.20802107379443
31,exact,0.0,oracle_sjf,1,500,5.4313419327971,13.902396301730619,45.55870728589775,303.8853491378627,18.282675254703687,29.807974379772464,0.114,0.022,0.34300490883385026,0.773052196759199,0.0,0.0,1.0,262,9.800420164320599,12.732676767307339,12.981419932096514,32.639400297556136,156,13.5583801401865,21.585121790838684,35.926623318444626,10.039022549394932,82,51.122176934406525,303.8853491378627,303.8853491378627,17.20802107379443
32,exact,0.0,fifo,1,500,30.737743620479844,81.00398627977074,89.66861512906132,93.83881498829908,141.92853680742442,233.32850759248768,0.732,0.394,0.38087544025143905,0.8982951405016595,0.0,0.0,1.0,253,81.6362046435554,89.66861512906132,92.81806486879088,253.55289974789045,174,81.74776411497567,91.25908681367127,92.76116660493369,76.0550767945962,73,78.46858423083529,93.83881498829908,93.83881498829908,20.338269447147592
32,exact,0.0,predicted_sjf,1,500,8.763327558574867,25.28826260513665,97.70204775625712,294.5357559606151,18.340840730182496,28.797936536992243,0.212,0.038,0.37914552433007703,0.8982951405016595,0.0,0.0,1.0,253,10.89756246598813,17.667922432401724,20.09045712245262,31.615155142298224,174,20.842731858902823,27.093740963143546,27.99271993622301,18.669942462614596,73,183.22825556573866,294.5357559606151,294.5357559606151,17.5074343605884
32,exact,0.0,oracle_sjf,1,500,8.763327558574867,25.28826260513665,97.70204775625712,294.5357559606151,18.340840730182496,28.797936536992243,0.212,0.038,0.37914552433007703,0.8982951405016595,0.0,0.0,1.0,253,10.89756246598813,17.667922432401724,20.09045712245262,31.615155142298224,174,20.842731858902823,27.093740963143546,27.99271993622301,18.669942462614596,73,183.22825556573866,294.5357559606151,294.5357559606151,17.5074343605884
33,exact,0.0,fifo,1,500,23.978587296070476,65.11194786897136,87.35046136355663,93.04502010510555,128.6483891652214,180.75639172243928,0.632,0.334,0.34873794485688087,0.8922455862371209,0.0,0.0,1.0,249,65.376864669523,87.57372373863882,93.04502010510555,238.5869815625212,176,65.55415790314169,87.40012296518512,91.39893734586326,83.97129980050472,75,64.5999138956663,87.16066157431533,87.16066157431533,21.53959422676703
33,exact,0.0,predicted_sjf,1,500,8.003657410350991,25.985643173704375,97.16119255225078,294.60723316737267,25.87878915952264,42.77195574393515,0.228,0.042,0.34858313058618473,0.8922455862371209,0.0,0.0,1.0,249,14.34469213905001,21.373226817840987,26.076100770221956,57.86362096838815,176,17.53468016647804,39.5616025901418,40.469055161966764,15.054269008612327,75,118.3963317978658,294.60723316737267,294.60723316737267,17.644869795860984
33,exact,0.0,oracle_sjf,1,500,8.003657410350991,25.985643173704375,97.16119255225078,294.60723316737267,25.87878915952264,42.77195574393515,0.228,0.042,0.34858313058618473,0.8922455862371209,0.0,0.0,1.0,249,14.34469213905001,21.373226817840987,26.076100770221956,57.86362096838815,176,17.53468016647804,39.5616025901418,40.469055161966764,15.054269008612327,75,118.3963317978658,294.60723316737267,294.60723316737267,17.644869795860984
34,exact,0.0,fifo,1,500,24.978814110009157,71.87165074663375,79.28407173260877,82.22948533151836,144.94318496229025,192.36492957029284,0.602,0.348,0.36646619582088213,0.8670974536103034,0.0,0.0,1.0,264,72.29325868889686,81.10774949683707,82.22948533151836,238.09277984261226,177,72.65886478673954,79.28407173260877,81.11991422780721,69.9724661932311,59,67.48459210551903,71.94694781520334,71.94694781520334,19.84326846570632
34,exact,0.0,predicted_sjf,1,500,6.513421792000461,21.840979877162567,45.076466641512525,181.8928116740647,22.317502567841608,37.70167452705466,0.192,0.028,0.36435869462701587,0.8670974536103034,0.0,0.0,1.0,264,13.124609770839925,19.03038616657841,19.843838988781442,50.381921904138224,177,22.79849861760181,25.650423985347857,36.92080881608064,17.344846572885032,59,52.41078786248727,181.8928116740647,181.8928116740647,9.953666816232271
34,exact,0.0,oracle_sjf,1,500,6.513421792000461,21.840979877162567,45.076466641512525,181.8928116740647,22.317502567841608,37.70167452705466,0.192,0.028,0.36435869462701587,0.8670974536103034,0.0,0.0,1.0,264,13.124609770839925,19.03038616657841,19.843838988781442,50.381921904138224,177,22.79849861760181,25.650423985347857,36.92080881608064,17.344846572885032,59,52.41078786248727,181.8928116740647,181.8928116740647,9.953666816232271
35,exact,0.0,fifo,1,500,16.64070510822248,44.14779026416545,51.15387577081924,52.68549170703511,92.83296305708464,129.03131123864964,0.54,0.226,0.3882546914444723,0.828912972613804,0.0,0.0,1.0,256,44.33061950813806,51.926702526350255,52.65028259321298,139.69027920502091,183,45.29800475017953,51.15387577081924,52.68549170703511,39.44388958081381,61,40.942987996336115,50.03168624837883,50.03168624837883,17.481621156554667
35,exact,0.0,predicted_sjf,1,500,6.116518236346779,24.631694038587966,57.39527468834956,166.06351213846688,18.802116729009864,36.503039107182104,0.168,0.03,0.38783869221918166,0.828912972613804,0.0,0.0,1.0,256,12.44142510013421,21.759797654431964,29.261183387444703,49.26000534575301,183,22.15637750245753,43.93359990935585,57.39527468834956,18.138177686917867,61,73.03971170527666,166.06351213846688,166.06351213846688,11.667368647144501
35,exact,0.0,oracle_sjf,1,500,6.116518236346779,24.631694038587966,57.39527468834956,166.06351213846688,18.802116729009864,36.503039107182104,0.168,0.03,0.38783869221918166,0.828912972613804,0.0,0.0,1.0,256,12.44142510013421,21.759797654431964,29.261183387444703,49.26000534575301,183,22.15637750245753,43.93359990935585,57.39527468834956,18.138177686917867,61,73.03971170527666,166.06351213846688,166.06351213846688,11.667368647144501
36,exact,0.0,fifo,1,500,102.72477720402645,164.83061955230505,171.2028734057526,177.71155830459406,362.761358808006,511.058894155888,1.0,0.984,0.358317452222427,0.9845171140824943,0.0,0.0,1.0,227,166.6929799478463,172.0581288556475,176.9513838655564,566.7779600309269,175,165.75685635759953,175.37120504184622,177.71155830459406,154.6932479872447,98,157.50029808807858,171.2028734057526,171.2028734057526,45.893500081745586
36,exact,0.0,predicted_sjf,1,500,21.846201874480723,55.99148900217256,434.2906269745881,1329.1462241846248,23.566493902734457,46.465052013271816,0.236,0.07,0.3302816005281558,0.9845171140824946,0.0,0.0,1.0,227,12.36958284658158,16.22718123364413,17.83329250241556,46.465052013271816,175,20.108599201602033,23.250351512288717,23.256766487224013,15.462126671200966,98,480.99083647078453,1329.1462241846248,1329.1462241846248,72.22237132709374
36,exact,0.0,oracle_sjf,1,500,21.846201874480723,55.99148900217256,434.2906269745881,1329.1462241846248,23.566493902734457,46.465052013271816,0.236,0.07,0.3302816005281558,0.9845171140824946,0.0,0.0,1.0,227,12.36958284658158,16.22718123364413,17.83329250241556,46.465052013271816,175,20.108599201602033,23.250351512288717,23.256766487224013,15.462126671200966,98,480.99083647078453,1329.1462241846248,1329.1462241846248,72.22237132709374
37,exact,0.0,fifo,1,500,10.371520876408368,28.195526591882526,40.93058006726608,45.95067197625167,56.61993851261532,80.15887783212274,0.422,0.038,0.36479877062266164,0.8682899624727992,0.0,0.0,1.0,245,28.45127777013826,43.464300106903465,45.65211638775406,86.27204262006754,185,27.56961375312062,41.5434859290541,45.95067197625167,40.04418172786553,70,26.307040079249646,36.286445888963044,36.286445888963044,8.492538661425224
